NEIGHBORHOOD,BUILDING_CLASS_CATEGORY,TAX_CLASS_AT_PRESENT,BLOCK,LOT,EASEMENT,BUILDING_CLASS_AT_PRESENT,ADDRESS,APARTMENT_NUMBER,ZIP_CODE,RESIDENTIAL_UNITS,COMMERCIAL_UNITS,TOTAL_UNITS,LAND_SQUARE_FEET,GROSS_SQUARE_FEET,YEAR_BUILT,TAX_CLASS_AT_TIME_OF_SALE,BUILDING_CLASS_AT_TIME_OF_SALE,SALE_PRICE,SALE_DATE
BATH BEACH,01 ONE FAMILY DWELLINGS,1,6399,13,,A1,155 BAY 14TH ST,,11214,1,0,1,"3,680",936,1930,1,A1,"12,50,000",23/12/20
BATH BEACH,01 ONE FAMILY DWELLINGS,1,6409,40,,A9,106 BAY 25TH STREET,,11214,1,0,1,"1,740","1,382",1915,1,A9,"8,05,000",02/12/20
BATH BEACH,01 ONE FAMILY DWELLINGS,1,6425,11,,A5,241 BAY 7TH STREET,,11228,1,0,1,"1,452","1,188",1935,1,A5,"8,70,000",30/04/21
BATH BEACH,01 ONE FAMILY DWELLINGS,1,6445,31,,S1,2108 BATH AVENUE,,11214,1,1,2,998,"1,530",1905,1,S1,"9,95,000",23/09/21
BATH BEACH,01 ONE FAMILY DWELLINGS,1,6459,77,,A5,8928 15 AVENUE,,11228,1,0,1,"1,933","2,100",1910,1,A5,"10,59,000",23/03/21
BATH BEACH,01 ONE FAMILY DWELLINGS,1,6460,203,,A5,8846 16TH AVENUE,,11214,1,0,1,"1,937","1,240",1950,1,A5,"8,82,000",21/01/21
BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,73,,A5,323 BAY 14TH ST,,11214,1,0,1,"1,511",928,1950,1,A5,"3,88,500",27/05/21
BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,136,,A5,322 BAY 14TH STREET,,11214,1,0,1,"1,511",928,1950,1,A5,"7,40,000",05/11/20
BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,142,,A5,1171 SHORE PARKWAY,,11214,1,0,1,"1,767","1,392",1950,1,A5,"8,15,000",18/08/21
BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,220,,A5,8933 16TH AVENUE,,11214,1,0,1,"2,105","1,240",1940,1,A5,"7,40,000",07/10/20
BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,247,,A5,280 BAY 13TH STREET,,11214,1,0,1,"1,649",928,1945,1,A5,"7,25,000",23/02/21
BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,282,,A5,277 BAY 13TH STREET,,11214,1,0,1,"1,649",928,1940,1,A5,"7,60,000",20/04/21
BATH BEACH,01 ONE FAMILY DWELLINGS,1,6463,127,,A5,8849 18TH AVENUE,,11214,1,0,1,"1,384",992,1950,1,A5,"8,55,000",08/06/21
BATH BEACH,01 ONE FAMILY DWELLINGS,1,6466,93,,A5,241 BAY 23RD STREET,,11214,1,0,1,"1,783","1,120",1945,1,A5,"7,45,000",11/12/20
BATH BEACH,01 ONE FAMILY DWELLINGS,1,6480,36,,A5,8980 15TH AVENUE,,11228,1,0,1,"1,740","1,863",1950,1,A5,"9,95,000",01/12/20
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6357,5,,B1,8671 14TH AVENUE,,11228,2,0,2,"2,320","2,160",1930,1,B1,"13,00,000",14/06/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6358,8,,B1,63 BAY 7TH STREET,,11228,2,0,2,"2,320","2,160",1930,1,B1,"12,10,000",14/01/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6359,14,,B1,51 BAY 8TH STREET,,11228,2,0,2,"2,320","2,160",1930,1,B1,"9,90,000",02/04/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6359,19,,B1,37 BAY 8TH STREET,,11228,2,0,2,"2,320","2,160",1930,1,B1,"12,56,000",05/02/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6359,48,,B1,8622 15TH AVENUE,,11228,2,0,2,"2,320","2,160",1930,1,B1,"9,90,000",02/12/20
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6359,57,,B1,8646 15TH AVENUE,,11228,2,0,2,"2,320","2,160",1930,1,B1,"13,68,000",11/12/20
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6360,34,,B1,8613 15TH AVENUE,,11228,2,0,2,"2,344","2,320",1930,1,B1,"7,05,000",23/08/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6360,76,,B1,74 BAY 10TH STREET,,11228,2,0,2,"1,718","2,298",1960,1,B1,"10,75,000",07/06/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6361,49,,B2,18 BAY 11TH STREET,,11228,2,0,2,"2,425","2,344",1930,1,B2,"14,85,000",18/05/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6361,59,,B1,44 BAY 11TH STREET,,11228,2,0,2,"2,320","2,160",1930,1,B1,"11,00,000",01/12/20
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6363,9,,B3,1603 BENSON AVENUE,,11214,2,0,2,"1,380","1,738",1935,1,B3,"7,30,000",21/12/20
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6364,8,,B3,1631 BENSON AVENUE,,11214,2,0,2,"2,688","1,367",1930,1,B3,"11,00,000",26/08/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6366,1,,B1,1721 BENSON AVENUE,,11214,2,0,2,"2,000","2,320",1925,1,B1,"15,50,000",16/06/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6366,31,,B1,8627 17TH AVE,,11214,2,0,2,"1,933","3,400",1901,1,B1,"10,85,000",10/02/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6368,46,,S2,8640 18TH AVENUE,,11214,2,1,3,"1,933","3,341",1931,1,S2,"23,30,000",26/04/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6368,47,,S2,8642 18TH AVENUE,,11214,2,1,3,"1,933","3,341",1922,1,S2,"23,30,000",26/04/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6369,58,,B1,18 BAY 19TH STREET,,11214,2,0,2,"2,153","2,266",1930,1,B1,"11,80,000",02/08/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6369,80,,B3,72 BAY 19TH STREET,,11214,2,0,2,"1,005","1,200",1930,1,B3,"6,00,000",30/12/20
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6371,16,,B1,85 BAY 20TH STREET,,11214,2,0,2,"2,328","1,820",1950,1,B1,"9,30,000",28/01/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6371,35,,B3,33 BAY 20 STREET,,11214,2,0,2,"3,867","3,192",1930,1,B3,"10,60,000",13/01/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6374,64,,S2,8638 20TH AVENUE,,11214,2,1,3,"4,060","2,819",1920,1,S2,"17,00,000",08/03/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6376,58,,B3,36 BAY 26TH STREET,,11214,2,0,2,"2,900","2,374",1930,1,B3,"13,38,000",15/01/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6392,22,,B1,129 BAY 7TH STREET,,11228,2,0,2,"1,772","1,980",1945,1,B1,"9,98,000",01/07/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6392,23,,B1,127 BAY 7TH STREET,,11228,2,0,2,"1,772","1,980",1945,1,B1,"10,30,000",25/11/20
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6393,17,,B2,143 BAY 8TH STREET,,11228,2,0,2,"2,151","2,183",1920,1,B2,"8,50,000",17/06/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6394,25,,B1,8723 15TH AVENUE,,11228,2,0,2,"2,336","2,160",1940,1,B1,"12,50,000",27/10/20
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6394,67,,B3,148 BAY 10TH STREET,,11228,2,0,2,"1,933","1,944",1940,1,B3,"4,65,000",23/02/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6395,61,,B9,130 BAY 11TH STREET,,11228,2,0,2,"1,925","2,018",1955,1,B9,"10,68,000",05/04/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6396,29,,B3,113 BAY 11TH STREET,,11228,2,0,2,"1,933","1,456",1899,1,B3,"8,75,000",22/10/20
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6396,33,,B3,105 BAY 11TH STREET,,11228,2,0,2,"1,920","1,484",1955,1,B3,"9,30,000",06/10/20
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6398,65,,B2,148 BAY 14TH STREET,,11214,2,0,2,"2,167","2,048",1930,1,B2,"10,98,000",06/11/20
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6401,21,,B2,8729 BAY 16TH STREET,,11214,2,0,2,"2,417","1,462",1925,1,B2,"9,55,000",19/03/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6402,41,,S2,8738 18TH AVE,,11214,2,1,3,"1,933","3,276",1910,1,S2,"7,00,000",18/02/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6402,41,,S2,8738 18TH AVENUE,,11214,2,1,3,"1,933","3,276",1910,1,S2,"9,50,000",13/07/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6408,14,,B3,125 BAY 23RD STREET,,11214,2,0,2,"2,034","1,420",1920,1,B3,"8,50,000",13/01/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6409,9,,B1,8737 20TH AVENUE,,11214,2,0,2,"1,933","2,125",1950,1,B1,"11,50,000",26/02/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6413,25,,B3,117 BAY 28TH STREET,,11214,2,0,2,"3,867","2,897",1925,1,B3,"13,60,000",19/03/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6414,31,,B3,109 BAY 29TH STREET,,11214,2,0,2,"2,417","2,464",1910,1,B3,"11,72,700",12/08/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6425,57,,B2,202 BAY 8TH STREET,,11228,2,0,2,"4,833","2,837",1930,1,B2,"16,50,000",22/07/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6426,13,,B3,233 BAY 8TH STREET,,11228,2,0,2,"3,867","1,793",1950,1,B3,"12,80,000",24/03/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6426,15,,B3,225 BAY 8TH STREET,,11228,2,0,2,"5,800","2,620",1935,1,B3,"16,50,000",27/05/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6426,18,,B2,221 BAY 8TH STREET,,11228,2,0,2,"1,933","2,048",1930,1,B2,"9,80,000",22/06/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6426,69,,B2,8834 15TH AVENUE,,11228,2,0,2,"3,867","3,992",2009,1,B2,"21,80,000",19/08/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6427,44,,B1,182 BAY 10TH STREET,,11228,2,0,2,"1,933","1,635",1955,1,B1,"11,10,000",04/06/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6427,60,,B3,206 BAY 10TH STREET,,11228,2,0,2,"3,867","2,280",1920,1,B3,"15,18,000",08/02/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6428,38,,B1,169 BAY 10TH STREET,,11228,2,0,2,"1,933","2,156",1960,1,B1,"13,00,000",22/06/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6430,29,,B9,8791 16TH AVENUE,,11214,2,0,2,"2,000","2,614",1965,1,B9,"14,38,000",30/03/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6433,13,,B1,8819 17TH AVENUE,,11214,2,0,2,"1,933","2,048",1901,1,B1,"10,90,000",14/06/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6439,12,,B3,8807 19TH AVENUE,,11214,2,0,2,"3,867","1,872",1920,1,B3,"9,90,000",19/07/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6443,7,,B3,2039 CROPSEY AVENUE,,11214,2,0,2,"1,507","1,510",1935,1,B3,"9,00,000",14/05/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6443,8,,B3,2037 CROPSEY AVENUE,,11214,2,0,2,"1,674","1,975",1935,1,B3,"9,00,000",03/03/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6459,18,,B9,309 BAY 8TH STREET,,11228,2,0,2,"1,909","1,640",1925,1,B9,"9,35,000",25/08/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6459,24,,B9,293 BAY 8TH STREET,,11228,2,0,2,"2,441","1,950",1925,1,B9,"9,65,000",20/07/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6460,142,,B1,298 BAY 11TH STREET,,11228,2,0,2,"1,885","1,729",1955,1,B1,"9,65,000",22/02/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6460,192,,B3,259 BAY 11TH STREET,,11228,2,0,2,"4,057","2,041",1925,1,B3,"13,80,000",04/02/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6460,304,,B3,339 BAY 10TH STREET,,11228,2,0,2,"1,740","1,849",1950,1,B3,"9,05,000",17/03/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6461,1,,B3,8841 16TH AVENUE,,11214,2,0,2,"2,633","3,828",1940,1,B3,"11,60,000",05/03/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6461,195,,B9,8883 16TH AVENUE,,11214,2,0,2,"2,126","1,188",1940,1,B9,"9,00,000",28/01/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6461,209,,B9,8915 16TH AVENUE,,11214,2,0,2,"2,114","1,188",1940,1,B9,"9,10,000",07/07/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6463,5,,B1,1287 SHORE PARKWAY,,11214,2,0,2,"1,830","1,980",1950,1,B1,"9,75,000",05/01/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6463,67,,B1,8872 18TH AVE,,11214,2,0,2,"1,698","1,320",1950,1,B1,"11,02,000",19/07/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6463,67,,B1,8872 18TH AVENUE,,11214,2,0,2,"1,698","1,320",1950,1,B1,"7,70,000",09/10/20
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6463,130,,B1,8843 18TH AVENUE,,11214,2,0,2,"1,708","1,320",1950,1,B1,"10,80,000",30/06/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6464,132,,B3,245 BAY 20TH STREET,,11214,2,0,2,"2,132","1,631",1945,1,B3,"9,60,000",19/07/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6464,141,,B9,8828 19 AVENUE,,11214,2,0,2,"2,090","1,932",1940,1,B9,"9,99,000",16/08/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6464,160,,B3,8876 19TH AVENUE,,11214,2,0,2,"1,547","1,584",1940,1,B3,"7,80,000",30/07/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6464,164,,B1,8884 19TH AVENUE,,11214,2,0,2,"1,547","1,320",1940,1,B1,"9,00,000",15/09/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6465,3,,B9,232 BAY 22 ST,,11214,2,0,2,"2,127","1,652",1940,1,B9,"1,00,000",31/12/20
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6465,9,,B9,248 BAY 22ND STREET,,11214,2,0,2,"2,127","1,652",1940,1,B9,"9,50,000",21/04/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6465,27,,B9,1942 20TH DRIVE,,11214,2,0,2,"2,090","1,652",1940,1,B9,"9,50,000",18/11/20
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6465,31,,B9,1952 20TH DRIVE,,11214,2,0,2,"2,090","1,652",1940,1,B9,"1,56,000",16/12/20
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6465,49,,B1,1951 19TH LANE,,11214,2,0,2,"2,310","1,944",1940,1,B1,"9,50,000",23/07/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6465,60,,B1,1929 19TH LANE,,11214,2,0,2,"1,638","1,584",1940,1,B1,"9,80,000",04/06/21
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6465,63,,B1,1923 19TH LANE,,11214,2,0,2,"1,520","1,760",1940,1,B1,"9,35,000",25/11/20
BATH BEACH,02 TWO FAMILY DWELLINGS,1,6468,15,,B9,8914 20TH AVE,,11214,2,0,2,"2,280","1,993",1945,1,B9,"9,90,000",30/03/21
BATH BEACH,03 THREE FAMILY DWELLINGS,1,6359,3,,C0,81 BAY 8TH STREET,,11228,3,0,3,"2,320","2,160",1930,1,C0,"12,73,000",16/04/21
BATH BEACH,03 THREE FAMILY DWELLINGS,1,6373,34,,C0,33 BAY 22ND STREET,,11214,3,0,3,"3,867","2,594",1925,1,C0,"14,00,000",15/04/21
BATH BEACH,03 THREE FAMILY DWELLINGS,1,6374,23,,C0,65 BAY 23 STREET,,11214,3,0,3,"3,867","2,940",1910,1,C0,"17,80,000",12/03/21
BATH BEACH,03 THREE FAMILY DWELLINGS,1,6376,32,,C0,25 BAY 25TH STREET,,11214,3,0,3,"1,933","2,774",1930,1,C0,"13,75,000",13/07/21
BATH BEACH,03 THREE FAMILY DWELLINGS,1,6380,24,,C0,39 BAY 29TH ST,,11214,3,0,3,"4,511","3,040",1930,1,C0,"18,50,000",03/09/21
BATH BEACH,03 THREE FAMILY DWELLINGS,1,6396,55,,C0,8716 16TH AVENUE,,11214,3,0,3,"1,933","2,440",1970,1,C0,"13,60,168",30/12/20
BATH BEACH,03 THREE FAMILY DWELLINGS,1,6399,66,,C0,8738 17TH AVENUE,,11214,3,0,3,"2,708","2,692",1915,1,C0,"13,25,000",19/05/21
BATH BEACH,03 THREE FAMILY DWELLINGS,1,6400,25,,C0,8721 17TH AVENUE,,11214,3,0,3,"2,900","2,462",1910,1,C0,"11,30,000",08/04/21
BATH BEACH,03 THREE FAMILY DWELLINGS,1,6400,71,,C0,8700 BAY 16TH STREET,,11214,3,0,3,"2,513","2,238",1905,1,C0,"9,00,000",27/04/21
BATH BEACH,03 THREE FAMILY DWELLINGS,1,6401,68,,C0,100 BAY 17TH STREET,,11214,3,0,3,"3,770","3,400",1925,1,C0,"18,00,000",17/03/21
BATH BEACH,03 THREE FAMILY DWELLINGS,1,6406,27,,C0,1910 BENSON AVENUE,,11214,3,0,3,"5,700","2,748",1901,1,C0,"12,00,000",30/12/20
BATH BEACH,03 THREE FAMILY DWELLINGS,1,6408,16,,C0,121 BAY 23RD STREET,,11214,3,0,3,"3,298","3,672",2018,1,C0,"22,40,150",10/03/21
BATH BEACH,03 THREE FAMILY DWELLINGS,1,6412,1,,C0,164 BAY 28TH STREET,,11214,3,0,3,"2,405","2,612",1970,1,C0,"15,65,000",06/07/21
BATH BEACH,03 THREE FAMILY DWELLINGS,1,6413,61,,C0,134 BAY 29TH STREET,,11214,3,0,3,"3,384","4,221",2019,1,C0,"19,85,588",31/08/21
BATH BEACH,03 THREE FAMILY DWELLINGS,1,6413,63,,C0,138 BAY 29TH STREET,,11214,3,0,3,"3,384","4,221",2019,1,C0,"20,16,135",10/09/21
BATH BEACH,03 THREE FAMILY DWELLINGS,1,6413,70,,C0,150 BAY 29TH STREET,,11214,3,0,3,"2,900","3,600",2005,1,C0,"19,60,000",11/08/21
BATH BEACH,03 THREE FAMILY DWELLINGS,1,6426,3,,C0,1465 CROPSEY AVENUE,,11228,3,0,3,"3,306","2,160",1910,1,C0,"11,50,000",06/04/21
BATH BEACH,03 THREE FAMILY DWELLINGS,1,6429,18,,C0,215 BAY 11TH STREET,,11228,3,0,3,"1,983","2,200",1935,1,C0,"13,20,000",06/07/21
BATH BEACH,03 THREE FAMILY DWELLINGS,1,6429,30,,C0,187 BAY 11TH STREET,,11228,3,0,3,"1,933","2,529",1910,1,C0,"3,00,000",28/05/21
BATH BEACH,03 THREE FAMILY DWELLINGS,1,6443,5,,C0,2043 CROPSEY AVENUE,,11214,3,0,3,"1,822","2,151",1935,1,C0,"9,70,000",17/12/20
BATH BEACH,03 THREE FAMILY DWELLINGS,1,6443,53,,C0,208 BAY 26TH STREET,,11214,3,0,3,"1,966","2,510",1950,1,C0,"12,65,000",17/09/21
BATH BEACH,03 THREE FAMILY DWELLINGS,1,6444,1,,C0,8818 21 AVENUE,,11214,3,0,3,"3,007","3,430",1975,1,C0,"14,65,000",15/07/21
BATH BEACH,03 THREE FAMILY DWELLINGS,1,6461,43,,C0,8854 17TH AVENUE,,11214,3,0,3,"2,940","2,887",1965,1,C0,"14,00,000",07/06/21
BATH BEACH,03 THREE FAMILY DWELLINGS,1,6462,20,,C0,8845 17TH AVENUE,,11214,3,0,3,"2,929","2,112",1994,1,C0,"18,00,000",02/04/21
BATH BEACH,06 TAX CLASS 1 - OTHER,1,6363,11,,G0,8671 16TH AVENUE,,11214,0,0,0,"2,146",0,1960,1,G0,"2,00,000",29/09/21
BATH BEACH,07 RENTALS - WALKUP APARTMENTS,2A,6365,26,,C3,31 BAY 14TH STREET,,11214,4,0,4,"2,708","2,400",1906,2,C3,"12,70,000",03/05/21
BATH BEACH,07 RENTALS - WALKUP APARTMENTS,2A,6445,11,,C2,8809 21ST AVENUE,,11214,6,0,6,"2,744","1,650",1930,2,C2,"12,80,000",21/09/21
BATH BEACH,07 RENTALS - WALKUP APARTMENTS,2,6447,18,,C1,195 BAY 29TH STREET,,11214,14,0,14,"5,800","13,320",1931,2,C1,"19,50,000",09/12/20
BATH BEACH,14 RENTALS - 4-10 UNIT,2A,6427,38,,S3,1510 BATH AVENUE,,11228,3,1,4,"2,500","4,400",1924,2,S3,"15,50,000",01/12/20
BATH BEACH,22 STORE BUILDINGS,4,6373,48,,K2,1938 86TH STREET,,11214,0,2,2,"1,917","1,917",1922,4,K2,"12,30,000",30/10/20
BATH BEACH,22 STORE BUILDINGS,4,6376,42,,K2,2044 86TH STREET,,11214,0,2,2,"1,900","2,280",1923,4,K2,"12,60,000",08/03/21
BATH BEACH,22 STORE BUILDINGS,4,6379,41,,K2,2138 86TH STREET,,11214,0,2,2,"1,600","2,640",1922,4,K2,"20,00,000",29/04/21
BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5851,57,,A5,459 SENATOR STREET,,11220,1,0,1,"1,660","1,312",1915,1,A5,"9,53,000",23/10/20
BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5852,29,,A4,172 SENATOR STREET,,11220,1,0,1,"2,000","2,000",1905,1,A4,"12,00,000",26/10/20
BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5852,37,,A9,6732 RIDGE BOULEVARD,,11220,1,0,1,"2,020","2,076",1905,1,A9,"12,60,000",12/03/21
BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5852,46,,A4,183 68TH STREET,,11220,1,0,1,"2,000","2,000",1910,1,A4,"13,50,000",30/06/21
BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5852,49,,A4,175 68TH STREET,,11220,1,0,1,"2,000","2,000",1910,1,A4,"13,75,000",10/08/21
BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5852,118,,A4,140 SENATOR STREET,,11220,1,0,1,"2,000","2,000",1905,1,A4,"9,80,000",26/10/20
BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5856,88,,A5,541 68TH STREET,,11220,1,0,1,"1,420","1,480",1915,1,A5,"9,39,000",02/03/21
BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5856,125,,A5,6736 6 AVENUE,,11220,1,0,1,"1,820","1,359",1925,1,A5,"9,70,000",20/11/20
BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5856,126,,A5,6738 SIXTH AVENUE,,11220,1,0,1,"1,920","1,359",1925,1,A5,"8,70,000",06/05/21
BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5856,127,,A5,6740 6TH AVENUE,,11220,1,0,1,"2,000","1,376",1925,1,A5,"8,10,000",31/12/20
BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5858,49,,A5,727 68TH STREET,,11220,1,0,1,"1,467","1,192",1920,1,A5,"7,70,000",12/03/21
BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5860,96,,A5,6802 BLISS TERRACE,,11220,1,0,1,"1,460","1,188",1925,1,A5,"8,20,000",04/03/21
BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5860,214,,A5,6811 BLISS TERRACE,,11220,1,0,1,"1,755","1,254",1925,1,A5,"12,25,000",28/05/21
BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5865,19,,A5,528 68TH STREET,,11220,1,0,1,"1,700","1,524",1905,1,A5,"8,45,000",07/09/21
BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5866,10,,A5,606 68TH STREET,,11220,1,0,1,"1,885","1,716",1925,1,A5,"13,00,000",30/03/21
BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5866,176,,A5,621 BAY RIDGE AVENUE,,11220,1,0,1,"1,667",960,1925,1,A5,"7,40,000",02/12/20
BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5869,61,,A5,87 70TH STREET,,11209,1,0,1,"1,933","1,440",1925,1,A5,"13,00,000",22/02/21
BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5871,77,,A4,229 OVINGTON AVENUE,,11209,1,0,1,"1,833","1,572",1899,1,A4,"16,50,000",29/12/20
BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5871,99,,A5,4 BAY RIDGE PLACE,,11209,1,0,1,"1,600","2,400",1910,1,A5,"11,00,000",13/11/20
BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5877,39,,A5,878 BAY RIDGE AVENUE,,11220,1,0,1,"1,800","1,831",1940,1,A5,"9,40,000",10/11/20
BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5884,11,,A5,48 MACKAY PLACE,,11209,1,0,1,"1,096","1,216",1930,1,A5,"8,85,000",07/07/21
BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5885,28,,A5,7016 RIDGE CREST TERRACE,,11209,1,0,1,"1,983","1,520",1925,1,A5,"11,25,000",02/11/20
BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5885,68,,A5,7010 PERRY TERRACE,,11209,1,0,1,"1,983","1,520",1920,1,A5,"9,99,000",05/05/21
BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5885,81,,A5,7036 PERRY TERRACE,,11209,1,0,1,"2,000","1,938",1925,1,A5,"13,55,000",12/08/21
BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5888,47,,A1,117 72ND STREET,,11209,1,0,1,"4,650","4,100",1925,1,A1,"16,00,000",18/02/21
BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5900,7,,A5,7104 8TH AVENUE,,11228,1,0,1,"1,521","1,120",1925,1,A5,"8,00,000",28/01/21
BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5900,11,,A5,7112 8TH AVENUE,,11228,1,0,1,"1,127","1,024",1925,1,A5,"9,27,000",20/04/21
BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5904,15,,A5,7239 SHORE ROAD,,11209,1,0,1,"1,854","2,054",1925,1,A5,"8,85,000",14/05/21
BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5904,74,,A1,27 74TH STREET,,11209,1,0,1,"2,900","1,806",1925,1,A1,"11,00,000",22/10/20
BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5905,35,,A5,118 72ND STREET,,11209,1,0,1,"2,000","1,880",1910,1,A5,"11,85,000",24/06/21
BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5905,67,,A4,83 73RD STREET,,11209,1,0,1,"2,000","2,080",1915,1,A4,"12,20,000",26/03/21
