NEIGHBORHOOD,BUILDING_CLASS_CATEGORY,TAX_CLASS_AT_PRESENT,BLOCK,LOT,EASEMENT,BUILDING_CLASS_AT_PRESENT,ADDRESS,APARTMENT_NUMBER,ZIP_CODE,RESIDENTIAL_UNITS,COMMERCIAL_UNITS,TOTAL_UNITS,LAND_SQUARE_FEET,GROSS_SQUARE_FEET,YEAR_BUILT,TAX_CLASS_AT_TIME_OF_SALE,BUILDING_CLASS_AT_TIME_OF_SALE,SALE_PRICE,SALE_DATE
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6601,51,,B1,233 AVENUE P,,11204,2,0,2,"2,200","2,817",1940,1,B1,"12,55,000",23/04/21
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6602,20,,B1,1534 WEST 4TH STREET,,11204,2,0,2,"2,000","2,224",1935,1,B1,"12,80,000",05/02/21
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6603,73,,B3,1547 W. 4TH STREET,,11204,2,0,2,"2,000","1,440",1925,1,B3,"8,65,000",11/02/21
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6604,14,,B1,1510 WEST 2ND STREET,,11204,2,0,2,"2,000","2,750",1960,1,B1,"9,75,000",27/05/21
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6604,27,,B3,1540 WEST 2ND STREET,,11204,2,0,2,"4,000","1,392",1920,1,B3,"11,60,000",02/11/20
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6619,24,,B2,1650 WEST 12TH STREET,,11223,2,0,2,"3,142","2,520",1930,1,B2,"15,53,000",01/04/21
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6621,13,,B3,1618 WEST 10TH STREET,,11223,2,0,2,"2,000","1,424",1930,1,B3,"9,00,000",30/08/21
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6622,34,,B2,1666 WEST 9TH STREET,,11223,2,0,2,"3,500","2,392",1930,1,B2,"11,58,000",01/12/20
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6622,62,,B1,1641 WEST 10,,11223,2,0,2,"2,000","2,456",1930,1,B1,"11,10,000",30/10/20
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6624,44,,B1,1681 WEST 8TH STREET,,11223,2,0,2,"2,475","2,700",1920,1,B1,"12,90,000",13/08/21
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6624,69,,B1,1623 WEST 8TH STREET,,11223,2,0,2,"2,063","2,064",1930,1,B1,"13,35,000",16/10/20
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6626,17,,B3,1626 WEST 5TH STREET,,11223,2,0,2,"2,000","1,484",1925,1,B3,"9,48,000",13/05/21
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6627,56,,B1,1655 WEST 5TH STREET,,11223,2,0,2,"2,000","2,797",1955,1,B1,"14,48,000",20/05/21
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6631,30,,B1,1650 DAHILL ROAD,,11223,2,0,2,"2,000","2,048",1925,1,B1,"6,00,000",06/10/20
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6631,47,,B1,1673 WEST 1ST STREET,,11223,2,0,2,"2,243","3,322",1930,1,B1,"14,50,000",04/11/20
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6632,55,,B1,1667 DAHILL ROAD,,11223,2,0,2,"2,500","2,600",1930,1,B1,"7,50,000",18/06/21
GRAVESEND,02 TWO FAMILY DWELLINGS,1,6643,20,,B2,1734 WEST 13TH STREET,,11223,2,0,2,"2,000","2,112",1920,1,B2,"11,70,000",10/05/21
